title,url,date,adults_surveyed,results,agg_results_pct,category,description,statement,leaning,partisan_diff,partisan_leaning,con_support,lab_support,overall_support
"Assuming the technology becomes available, would you support or oppose scientists recreating and reintroducing to the wild animals from species that went extinct in ancient times?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/04/11/a5ba0/2,Conducted 11 April 2025,4821,"{'Strongly support': {'All': 8, 'Con': 6, 'Lab': 9, 'Lib Dem': 5, 'Reform': 13}, 'Somewhat support': {'All': 28, 'Con': 24, 'Lab': 31, 'Lib Dem': 35, 'Reform': 29}, 'Somewhat oppose': {'All': 24, 'Con': 29, 'Lab': 25, 'Lib Dem': 21, 'Reform': 18}, 'Strongly oppose': {'All': 19, 'Con': 24, 'Lab': 17, 'Lib Dem': 15, 'Reform': 23}, ""Don't know"": {'All': 21, 'Con': 16, 'Lab': 19, 'Lib Dem': 24, 'Reform': 16}}","{'All': {'support': 36, 'oppose': 43}, 'Con': {'support': 30, 'oppose': 53}, 'Lab': {'support': 40, 'oppose': 42}, 'Lib Dem': {'support': 40, 'oppose': 36}, 'Reform': {'support': 42, 'oppose': 41}}",Science,De-extinction of ancient species,"The U.K. SHOULD allow scientists to recreate and reintroduce to the wild animals from species that went extinct in ancient times, once the technology becomes available.",Neutral,10,,30,40,36
"Would you support or oppose introducing fines of up to £1,000 for people playing music or videos out loud on their phone speakers on public transport or at train stations and bus stops?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/04/24/91991/1,Conducted 24 April 2025,6815,"{'Strongly support': {'All': 29, 'Con': 37, 'Lab': 29, 'Lib Dem': 27, 'Reform': 35}, 'Somewhat support': {'All': 33, 'Con': 39, 'Lab': 34, 'Lib Dem': 35, 'Reform': 30}, 'Somewhat oppose': {'All': 17, 'Con': 13, 'Lab': 19, 'Lib Dem': 19, 'Reform': 14}, 'Strongly oppose': {'All': 11, 'Con': 5, 'Lab': 10, 'Lib Dem': 12, 'Reform': 11}, ""Don't know"": {'All': 9, 'Con': 6, 'Lab': 8, 'Lib Dem': 7, 'Reform': 10}}","{'All': {'support': 62, 'oppose': 28}, 'Con': {'support': 76, 'oppose': 18}, 'Lab': {'support': 63, 'oppose': 29}, 'Lib Dem': {'support': 62, 'oppose': 31}, 'Reform': {'support': 65, 'oppose': 25}}",Transport,Fines for playing loud music on public transport,"The U.K. SHOULD introduce fines of up to £1,000 for people playing music or videos out loud on their phone speakers on public transport or at train stations and bus stops.",Neutral,-13,,76,63,62
"Do you support or oppose the NHS prescribing comedy-based interventions, such as stand-up shows and comedy workshops, to reduce the amount of anti-depressants that are prescribed?",https://yougov.co.uk/topics/entertainment/survey-results/daily/2025/02/20/c33bd/3,Conducted 20 February 2025,5268,"{'Strongly support': {'All': 11, 'Con': 7, 'Lab': 14, 'Lib Dem': 11, 'Reform': 6}, 'Somewhat support': {'All': 28, 'Con': 25, 'Lab': 32, 'Lib Dem': 30, 'Reform': 19}, 'Somewhat oppose': {'All': 17, 'Con': 19, 'Lab': 17, 'Lib Dem': 19, 'Reform': 20}, 'Strongly oppose': {'All': 19, 'Con': 28, 'Lab': 12, 'Lib Dem': 14, 'Reform': 35}, ""Don't know"": {'All': 26, 'Con': 21, 'Lab': 25, 'Lib Dem': 26, 'Reform': 20}}","{'All': {'support': 39, 'oppose': 36}, 'Con': {'support': 32, 'oppose': 47}, 'Lab': {'support': 46, 'oppose': 29}, 'Lib Dem': {'support': 41, 'oppose': 33}, 'Reform': {'support': 25, 'oppose': 55}}",Health,Alternative therapies in NHS mental health treatment,"The U.K. SHOULD allow the NHS to prescribe comedy-based interventions, such as stand-up shows and comedy workshops, as alternatives to reduce the amount of anti-depressants that are prescribed.",Neutral,14,,32,46,39
Would you support or oppose a two alcoholic drink per passenger limit at airport bars?,https://yougov.co.uk/topics/travel/survey-results/daily/2024/08/28/d229d/3,Conducted 28 August 2024,6771,"{'Strongly support': {'All': 32, 'Con': 37, 'Lab': 34, 'Lib Dem': 34, 'Reform': 32}, 'Tend to support': {'All': 30, 'Con': 30, 'Lab': 34, 'Lib Dem': 34, 'Reform': 28}, 'Tend to oppose': {'All': 15, 'Con': 15, 'Lab': 13, 'Lib Dem': 16, 'Reform': 16}, 'Strongly oppose': {'All': 9, 'Con': 9, 'Lab': 7, 'Lib Dem': 6, 'Reform': 14}, 'Don’t know': {'All': 13, 'Con': 9, 'Lab': 12, 'Lib Dem': 11, 'Reform': 10}}","{'All': {'support': 32, 'oppose': 9}, 'Con': {'support': 37, 'oppose': 9}, 'Lab': {'support': 34, 'oppose': 7}, 'Lib Dem': {'support': 34, 'oppose': 6}, 'Reform': {'support': 32, 'oppose': 14}}",Alcohol,Alcohol limits at airports,The U.K. SHOULD impose a two alcoholic drink per passenger limit at airport bars.,Neutral,-3,,37,34,32
Would you support or oppose giving police the power to search homes without a warrant if electronic tracking suggests stolen property (such as phones or bicycles) may be present there?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/02/25/1f35b/1,Conducted 25 February 2025,5390,"{'Strongly support': {'All': 30, 'Con': 44, 'Lab': 29, 'Lib Dem': 30, 'Reform': 38}, 'Somewhat support': {'All': 34, 'Con': 36, 'Lab': 36, 'Lib Dem': 38, 'Reform': 26}, 'Somewhat oppose': {'All': 13, 'Con': 8, 'Lab': 14, 'Lib Dem': 14, 'Reform': 11}, 'Strongly oppose': {'All': 15, 'Con': 7, 'Lab': 13, 'Lib Dem': 10, 'Reform': 18}, 'Don’t know': {'All': 9, 'Con': 4, 'Lab': 8, 'Lib Dem': 9, 'Reform': 6}}","{'All': {'support': 64, 'oppose': 28}, 'Con': {'support': 80, 'oppose': 15}, 'Lab': {'support': 65, 'oppose': 27}, 'Lib Dem': {'support': 68, 'oppose': 24}, 'Reform': {'support': 64, 'oppose': 29}}",Legal,Police search powers without warrants,The U.K. SHOULD give police the power to search homes without a warrant if electronic tracking suggests stolen property (such as phones or bicycles) may be present there.,Neutral,-15,,80,65,64
Would you support or oppose a law requiring people who are not UK residents and are purchasing a home in the UK to pay a tax equivalent to 100% of the value of the home?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/01/14/075aa/1,Conducted 14 January 2025,4877,"{'Strongly support': {'All': 27, 'Con': 29, 'Lab': 27, 'Lib Dem': 25, 'Reform': 39}, 'Somewhat support': {'All': 26, 'Con': 27, 'Lab': 27, 'Lib Dem': 31, 'Reform': 24}, 'Somewhat oppose': {'All': 16, 'Con': 16, 'Lab': 17, 'Lib Dem': 16, 'Reform': 11}, 'Strongly oppose': {'All': 11, 'Con': 11, 'Lab': 9, 'Lib Dem': 10, 'Reform': 9}, ""Don't know"": {'All': 21, 'Con': 16, 'Lab': 21, 'Lib Dem': 18, 'Reform': 18}}","{'All': {'support': 53, 'oppose': 27}, 'Con': {'support': 56, 'oppose': 27}, 'Lab': {'support': 54, 'oppose': 26}, 'Lib Dem': {'support': 56, 'oppose': 26}, 'Reform': {'support': 63, 'oppose': 20}}",Housing/Taxation,Tax on non-resident home buyers,"The U.K. SHOULD implement a 100% tax on home purchases made by non-UK residents, effectively doubling the cost for foreign buyers of UK property.",Neutral,-2,,56,54,53
"In the event of a peace deal in Ukraine, would you support or oppose British soldiers being stationed in the country as peacekeepers, alongside soldiers from other European countries?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/01/16/c89e0/2,Conducted 16 January 2025,6072,"{'Strongly support': {'All': 21, 'Con': 23, 'Lab': 25, 'Lib Dem': 28, 'Reform': 15}, 'Somewhat support': {'All': 37, 'Con': 44, 'Lab': 41, 'Lib Dem': 42, 'Reform': 29}, 'Somewhat oppose': {'All': 10, 'Con': 11, 'Lab': 9, 'Lib Dem': 6, 'Reform': 17}, 'Strongly oppose': {'All': 11, 'Con': 9, 'Lab': 6, 'Lib Dem': 5, 'Reform': 28}, 'Don’t know': {'All': 21, 'Con': 14, 'Lab': 19, 'Lib Dem': 19, 'Reform': 11}}","{'All': {'support': 58, 'oppose': 21}, 'Con': {'support': 67, 'oppose': 20}, 'Lab': {'support': 66, 'oppose': 15}, 'Lib Dem': {'support': 70, 'oppose': 11}, 'Reform': {'support': 44, 'oppose': 45}}",Defence,Peacekeeping missions in Ukraine,The U.K. SHOULD deploy British soldiers to Ukraine as peacekeepers alongside troops from other European countries in the event of a peace deal.,Neutral,-1,,67,66,58
"Would you support or oppose schools ending their day early, after lunch, on a Friday?",https://yougov.co.uk/topics/society/survey-results/daily/2024/06/21/b4451/3,Conducted 21 June 2024,5398,"{'Strongly support': {'All': 14, 'Lab': 18, 'Con': 7, 'LD': 10, 'Remain': 15, 'Leave': 9}, 'Somewhat support': {'All': 25, 'Lab': 27, 'Con': 20, 'LD': 31, 'Remain': 27, 'Leave': 20}, 'Somewhat oppose': {'All': 19, 'Lab': 18, 'Con': 22, 'LD': 22, 'Remain': 19, 'Leave': 20}, 'Strongly oppose': {'All': 24, 'Lab': 18, 'Con': 36, 'LD': 18, 'Remain': 20, 'Leave': 34}, ""Don't know"": {'All': 18, 'Lab': 19, 'Con': 16, 'LD': 20, 'Remain': 20, 'Leave': 17}}","{'All': {'support': 39, 'oppose': 43}, 'Lab': {'support': 45, 'oppose': 36}, 'Con': {'support': 27, 'oppose': 58}, 'LD': {'support': 41, 'oppose': 40}, 'Remain': {'support': 42, 'oppose': 39}, 'Leave': {'support': 29, 'oppose': 54}}",Education,Early school dismissal on Fridays,"The U.K. SHOULD allow schools to end their day early, after lunch, on Fridays.",Neutral,18,,27,45,39
"Would you support or oppose the NHS providing smart watches to allow people with certain conditions (such as high blood pressure, cancer, diabetes) to measure their vital signs?",https://yougov.co.uk/topics/politics/survey-results/daily/2024/10/21/8a310/2,Conducted 21 October 2024,4053,"{'Strongly support': {'All': 27, 'Con': 19, 'Lab': 30, 'Lib Dem': 28, 'Reform': 20}, 'Somewhat support': {'All': 41, 'Con': 39, 'Lab': 47, 'Lib Dem': 46, 'Reform': 36}, 'Somewhat oppose': {'All': 11, 'Con': 15, 'Lab': 9, 'Lib Dem': 12, 'Reform': 15}, 'Strongly oppose': {'All': 9, 'Con': 15, 'Lab': 4, 'Lib Dem': 7, 'Reform': 20}, ""Don't know"": {'All': 12, 'Con': 11, 'Lab': 10, 'Lib Dem': 7, 'Reform': 9}}","{'All': {'support': 68, 'oppose': 20}, 'Con': {'support': 58, 'oppose': 30}, 'Lab': {'support': 77, 'oppose': 13}, 'Lib Dem': {'support': 74, 'oppose': 19}, 'Reform': {'support': 56, 'oppose': 35}}",Health,Smart watches for NHS patients with health conditions,"The U.K. SHOULD provide NHS-funded smart watches to allow people with certain conditions (such as high blood pressure, cancer, diabetes) to measure their vital signs.",Neutral,19,,58,77,68
Would you support or oppose drivers aged under 21 being banned from carrying passengers under 21 for the first six months after they pass their driving test?,https://yougov.co.uk/topics/travel/survey-results/daily/2024/10/22/c28e1/2,Conducted 22 October 2024,5931,"{'Strongly support': {'All': 31, 'Con': 42, 'Lab': 29, 'Lib Dem': 32, 'Reform': 34}, 'Somewhat support': {'All': 30, 'Con': 33, 'Lab': 33, 'Lib Dem': 31, 'Reform': 25}, 'Somewhat oppose': {'All': 16, 'Con': 11, 'Lab': 19, 'Lib Dem': 19, 'Reform': 19}, 'Strongly oppose': {'All': 11, 'Con': 7, 'Lab': 9, 'Lib Dem': 11, 'Reform': 14}, ""Don't know"": {'All': 13, 'Con': 8, 'Lab': 11, 'Lib Dem': 7, 'Reform': 9}}","{'All': {'support': 61, 'oppose': 27}, 'Con': {'support': 75, 'oppose': 18}, 'Lab': {'support': 62, 'oppose': 28}, 'Lib Dem': {'support': 63, 'oppose': 30}, 'Reform': {'support': 59, 'oppose': 33}}",Transport,Driving restrictions for young drivers,The U.K. SHOULD ban drivers aged under 21 from carrying passengers under 21 for the first six months after they pass their driving test.,Neutral,-13,,75,62,61
"Would you support or oppose a 25p charge being introduced on single-use disposable beverage cups, such as those you get from a coffee shop?",https://yougov.co.uk/topics/politics/survey-results/daily/2024/08/23/c4ad2/2,Conducted 23 August 2024,5554,"{'Strongly support': {'All': 20, 'Con': 19, 'Lab': 26, 'Lib Dem': 24, 'Reform': 15}, 'Somewhat support': {'All': 26, 'Con': 29, 'Lab': 27, 'Lib Dem': 37, 'Reform': 18}, 'Somewhat oppose': {'All': 18, 'Con': 16, 'Lab': 16, 'Lib Dem': 18, 'Reform': 22}, 'Strongly oppose': {'All': 23, 'Con': 24, 'Lab': 19, 'Lib Dem': 12, 'Reform': 35}, ""Don't know"": {'All': 13, 'Con': 12, 'Lab': 12, 'Lib Dem': 9, 'Reform': 11}}","{'All': {'support': 46, 'oppose': 41}, 'Con': {'support': 48, 'oppose': 40}, 'Lab': {'support': 53, 'oppose': 35}, 'Lib Dem': {'support': 61, 'oppose': 30}, 'Reform': {'support': 33, 'oppose': 57}}",Environment,Charge on disposable cups,"The U.K. SHOULD introduce a 25p charge on single-use disposable beverage cups, such as those from coffee shops.",Neutral,5,,48,53,46
Currently cars that use petrol or diesel fuel are set to be banned in favour of electric cars by 2030. Would you support or oppose allowing hybrid cars - which use a combined fuel-electric engine - to remain on sale until 2035?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/04/07/5bcf9/2,Conducted 7 April 2025,3806,"{'Strongly support': {'All': 41, 'Con': 55, 'Lab': 40, 'Lib Dem': 37, 'Reform': 56}, 'Somewhat support': {'All': 28, 'Con': 23, 'Lab': 34, 'Lib Dem': 38, 'Reform': 17}, 'Somewhat oppose': {'All': 9, 'Con': 10, 'Lab': 9, 'Lib Dem': 10, 'Reform': 4}, 'Strongly oppose': {'All': 8, 'Con': 7, 'Lab': 6, 'Lib Dem': 5, 'Reform': 13}, ""Don't know"": {'All': 14, 'Con': 5, 'Lab': 11, 'Lib Dem': 10, 'Reform': 10}}","{'All': {'support': 69, 'oppose': 17}, 'Con': {'support': 78, 'oppose': 17}, 'Lab': {'support': 74, 'oppose': 15}, 'Lib Dem': {'support': 75, 'oppose': 15}, 'Reform': {'support': 73, 'oppose': 17}}",Environment,Phasing out of petrol and diesel vehicles,"The U.K. SHOULD extend the deadline for hybrid cars (which use a combined fuel-electric engine) to remain on sale until 2035, while maintaining the 2030 ban on purely petrol or diesel vehicles.",Neutral,-4,,78,74,69
"Would you support or oppose changing the daylight time system in the UK so that clocks remain one hour ahead of GMT in winter, and are set two hours ahead of GMT from the spring, meaning that it would remain lighter in the evenings for longer?",https://yougov.co.uk/topics/society/survey-results/daily/2025/03/27/76093/2,Conducted 27 March 2025,4344,"{'Strongly support': {'All': 18, 'Con': 20, 'Lab': 19, 'Lib Dem': 19, 'Reform': 21}, 'Somewhat support': {'All': 26, 'Con': 28, 'Lab': 26, 'Lib Dem': 27, 'Reform': 26}, 'Somewhat oppose': {'All': 15, 'Con': 16, 'Lab': 17, 'Lib Dem': 17, 'Reform': 13}, 'Strongly oppose': {'All': 14, 'Con': 16, 'Lab': 13, 'Lib Dem': 14, 'Reform': 15}, 'Don’t know': {'All': 27, 'Con': 20, 'Lab': 26, 'Lib Dem': 23, 'Reform': 25}}","{'All': {'support': 44, 'oppose': 29}, 'Con': {'support': 48, 'oppose': 32}, 'Lab': {'support': 45, 'oppose': 30}, 'Lib Dem': {'support': 46, 'oppose': 31}, 'Reform': {'support': 47, 'oppose': 28}}",Time,Changing the daylight saving time system,"The U.K. SHOULD change the daylight time system so that clocks remain one hour ahead of GMT in winter, and are set two hours ahead of GMT from the spring, meaning that it would remain lighter in the evenings for longer.",Neutral,-3,,48,45,44
"Currently, all school children in England who are in reception, Year 1 and Year 2 are eligible for free school meals. Would you support or oppose changing this policy so that only those from lower income households are eligible for free school meals?",https://yougov.co.uk/topics/society/survey-results/daily/2025/03/24/410e8/2,Conducted 24 March 2025,3722,"{'Strongly support': {'All': 20, 'Con': 23, 'Lab': 18, 'Lib Dem': 15, 'Reform': 27}, 'Somewhat support': {'All': 25, 'Con': 28, 'Lab': 24, 'Lib Dem': 26, 'Reform': 30}, 'Somewhat oppose': {'All': 19, 'Con': 17, 'Lab': 26, 'Lib Dem': 20, 'Reform': 14}, 'Strongly oppose': {'All': 24, 'Con': 21, 'Lab': 24, 'Lib Dem': 23, 'Reform': 20}, ""Don't know"": {'All': 12, 'Con': 11, 'Lab': 9, 'Lib Dem': 17, 'Reform': 9}}","{'All': {'support': 45, 'oppose': 43}, 'Con': {'support': 51, 'oppose': 38}, 'Lab': {'support': 42, 'oppose': 50}, 'Lib Dem': {'support': 41, 'oppose': 43}, 'Reform': {'support': 57, 'oppose': 34}}",Education,Free school meals eligibility,"The U.K. SHOULD change the current universal free school meals policy for reception, Year 1 and Year 2 children in England to a means-tested approach where only those from lower income households are eligible.",Neutral,-9,,51,42,45
